339355 - Bechs ApS;;;;;;;;;;
Salg » Opsætning »;;;;;;;;;;
Varer;;;;;;;;;;
;;;;;;;;;;
Nr.;Navn;Gruppe;Salgspris;Kostpris;På lager;I ordre;Til rådighed;Bestilt;;
sppe13;1905 3 fl i trækasse;14;5.000,00;0,00;0,00;0,00;0,00;0,00;;
sppe12;1905 Amontillado;14;1.600,00;0,00;0,00;0,00;0,00;0,00;;
sppe3;1905 Oloroso;14;1.600,00;0,00;0,00;0,00;0,00;0,00;;
sppe2;1905 PX;14;2.200,00;0,00;0,00;0,00;0,00;0,00;;
ital1;Alibrianza Primitivo di Manduria DOC 2013;11;53,00;21,26;300,00;0,00;300,00;0,00;;
ital2;Alibrianza Salice Salentino 2013;11;45,00;17,91;300,00;0,00;300,00;0,00;;
frpf5;Alsace Riesling 2010/2011;11;52,00;3,11;1,00;0,00;1,00;0,00;;
itdu1;Altrovino 2007;11;156,00;0,00;0,00;0,00;0,00;0,00;;
itsa5;"Arruga ""Carignano del Sulcis"" 2008";11;175,00;100,01;48,00;0,00;48,00;0,00;;
arav2;AVE Gr. Riserva;12;90,00;0,00;0,00;0,00;0,00;0,00;;
frpu11;Bag n'Barrigue Blanc 3L.;18;200,00;95,10;20,00;0,00;20,00;0,00;;
frpu1;Bag n'Barrigue Rouge 5 l.;13;260,00;0,00;0,00;0,00;0,00;0,00;;
frpu10;Bag n'Barrigues Rouge 3 l.;18;200,00;93,01;72,00;0,00;72,00;0,00;;
itma7;Bardolino Classico 2012;11;51,00;2,80;-12,00;0,00;-12,00;0,00;;
itma11;Barolo;11;125,00;80,00;0,00;0,00;0,00;0,00;;
itman;Barolo Manzone Vigna Franzin;11;125,00;0,00;0,00;0,00;0,00;0,00;;
frje6;Beaujolais 1947;11;68,00;0,00;0,00;0,00;0,00;0,00;;
frje5;Beaujolais Blanc;11;0,00;40,00;0,00;0,00;0,00;0,00;;
frse8;Beaune 1er Cru Champimonts 2007/2009;11;208,00;0,00;0,00;0,00;0,00;0,00;;
itma5;Bianco de Custoza;11;52,00;21,22;96,00;0,00;96,00;0,00;;
frco4;BiBi Conquettes -5 l.;11;180,00;0,00;0,00;0,00;0,00;0,00;;
frde4;Bloc de Foie Gras de Canard 100 gr;21;29,00;15,62;132,00;216,00;-84,00;1.200,00;;
